pitch,vel,alpha,acc,pitch_deg,alpha_deg,cz
1.0471975511965976,9.78,0.5235987755982989,8.495709211125343,60,30.0,0.088917958
0.9599310885968813,8.5,0.6108652381980153,8.03588155447501,55,35.0,0.111223275
0.8726646259971648,7.12,0.6981317007977318,7.514895986997175,50,40.0,0.123913561
0.7853981633974483,7.12,0.7853981633974483,6.936717523440031,45,45.0,0.136913561
0.6981317007977318,7.12,0.8726646259971648,6.305746451024951,40,50.0,0.143913561
0.6108652381980153,6.01,0.9599310885968813,5.626784840603762,35,55.0,0.15577988
0.5235987755982988,4.7,1.0471975511965979,4.904999999999999,30,60.0,0.222046175
0.4363323129985824,4.2,1.1344640137963142,4.145885147676262,25,65.0,0.235027503
0.3490658503988659,3.44,1.2217304763960306,3.3552176060248105,20,70.0,0.28431975
0.2617993877991494,2.74,1.3089969389957472,2.5390148324557287,15,75.0,0.339050834
0.17453292519943295,1.86,1.3962634015954636,1.7034886229125867,10,80.0,0.401752016
0.0,1.86,1.5707963267948966,0.0,0,90.0,0.421752016
-0.17453292519943295,1.86,1.7453292519943295,-1.7034886229125867,-10,100.0,0.401752016
-0.2617993877991494,2.74,1.832595714594046,-2.5390148324557287,-15,105.0,0.339050834
-0.3490658503988659,3.44,1.9198621771937625,-3.3552176060248105,-20,110.0,0.28431975
-0.4363323129985824,4.2,2.007128639793479,-4.145885147676262,-25,115.0,0.235027503
-0.5235987755982988,4.7,2.0943951023931953,-4.904999999999999,-30,120.0,0.222046175
-0.6108652381980153,6.01,2.181661564992912,-5.626784840603762,-35,125.0,0.15577988
-0.6981317007977318,7.12,2.2689280275926285,-6.305746451024951,-40,130.0,0.143913561
-0.7853981633974483,7.12,2.356194490192345,-6.936717523440031,-45,135.0,0.136913561
-0.8726646259971648,7.12,2.443460952792061,-7.514895986997175,-50,140.0,0.123913561
-0.9599310885968813,8.5,2.5307274153917776,-8.03588155447501,-55,145.0,0.111223275
-1.0471975511965976,9.78,2.617993877991494,-8.495709211125343,-60,150.0,0.088917958
