alpha,cz,alpha_deg
0.0,-0.01028047703180213,0.0
0.02115550608477975,0.013757923479356737,1.2121212121212122
0.0423110121695595,0.03540802862119951,2.4242424242424243
0.06346651825433924,0.05482091776879012,3.6363636363636354
0.084622024339119,0.07214647012920196,4.848484848484849
0.10577753042389874,0.08753266191826936,6.06060606060606
0.1269330365086785,0.10112490639732337,7.272727272727271
0.14808854259345824,0.11306543927521134,8.484848484848484
0.169244048678238,0.1234927516160253,9.696969696969697
0.19039955476301776,0.1325410720218949,10.90909090909091
0.2115550608477975,0.14033989948561754,12.12121212121212
0.23271056693257725,0.14701358793243635,13.333333333333332
0.253866073017357,0.15268098309658842,14.545454545454541
0.27502157910213676,0.15745511200883022,15.757575757575756
0.2961770851869165,0.16144292500860044,16.96969696969697
0.3173325912716963,0.16474508984114178,18.181818181818183
0.338488097356476,0.1674558370581594,19.393939393939394
0.35964360344125573,0.16966285561258831,20.606060606060606
0.3807991095260355,0.17144723722593783,21.81818181818182
0.40195461561081525,0.17288346781230715,23.030303030303028
0.423110121695595,0.1740394639684064,24.24242424242424
0.44426562778037476,0.17497665228530973,25.454545454545453
0.4654211338651545,0.17575008900668002,26.666666666666664
0.4865766399499343,0.1764086173510858,27.87878787878788
0.507732146034714,0.17699505963383672,29.090909090909083
0.5288876521194937,0.17754644116734986,30.303030303030297
0.5500431582042735,0.17809424278908081,31.515151515151512
0.5711986642890533,0.17866467876298978,32.72727272727273
0.592354170373833,0.17927899672456737,33.93939393939394
0.6135096764586128,0.17995379629068603,35.15151515151515
0.6346651825433925,0.1807013629338228,36.36363636363637
0.6558206886281722,0.18153001372509595,37.57575757575757
0.676976194712952,0.18244445158158493,38.78787878787879
0.6981317007977318,0.18344612470975577,40.0
0.7192872068825115,0.18453358801757982,41.21212121212121
0.7404427129672912,0.1857028633720262,42.42424242424242
0.761598219052071,0.1869477957047161,43.63636363636364
0.7827537251368507,0.18826040211528522,44.84848484848484
0.8039092312216305,0.1896312112878055,46.060606060606055
0.8250647373064103,0.19104959071880584,47.272727272727266
0.84622024339119,0.19250405945420515,48.48484848484848
0.8673757494759697,0.19398258424494283,49.69696969696969
0.8885312555607495,0.1954728572552419,50.90909090909091
0.9096867616455293,0.19696255369132154,52.12121212121212
0.930842267730309,0.1984395679597778,53.33333333333333
0.9519977738150888,0.19989222721174557,54.54545454545455
0.9731532798998686,0.20130948137916507,55.75757575757576
0.9943087859846482,0.2026810690608598,56.96969696969697
1.015464292069428,0.20399765886656676,58.181818181818166
1.0366197981542078,0.20525096607450038,59.3939393939394
1.0471975511965979,0.20585160908434416,60.00000000000001
1.0577753042389875,0.20643384470036147,60.606060606060595
1.0683530572813775,0.2069969687260461,61.21212121212122
1.0789308103237674,0.20754035531103113,61.81818181818183
1.0895085633661574,0.2080634577854061,62.42424242424243
1.100086316408547,0.20856580914259346,63.030303030303024
1.110664069450937,0.20904702217881804,63.63636363636365
1.1212418224933267,0.2095067892979871,64.24242424242424
1.1318195755357168,0.20994488199145153,64.84848484848486
1.1423973285781066,0.21036115000286268,65.45454545454545
1.1529750816204967,0.21075552018892368,66.06060606060606
1.1635528346628863,0.21112799508751384,66.66666666666666
1.1741305877052763,0.2114786512051906,67.27272727272728
1.184708340747666,0.2118076370366451,67.87878787878788
1.195286093790056,0.21211517082920442,68.4848484848485
1.2058638468324459,0.21240153810591625,69.0909090909091
1.216441599874836,0.2126670889612217,69.6969696969697
1.2270193529172255,0.212912235143578,70.3030303030303
1.2375971059596156,0.21313744693978542,70.90909090909092
1.2481748590020052,0.21334324987605843,71.5151515151515
1.2587526120443953,0.21353022125117618,72.12121212121212
1.269330365086785,0.21369898651727634,72.72727272727273
1.2799081181291752,0.21385021552403155,73.33333333333334
1.2904858711715648,0.21398461864214766,73.93939393939394
1.3010636242139548,0.21410294278216524,74.54545454545455
1.3116413772563444,0.21420596732468586,75.15151515151514
1.3222191302987345,0.21429449997811684,75.75757575757576
1.3327968833411243,0.21436937258005553,76.36363636363636
1.3433746363835144,0.21443143685834945,76.96969696969698
1.353952389425904,0.21448156016780356,77.57575757575758
1.364530142468294,0.21452062121834528,78.18181818181819
1.3751078955106837,0.21454950581030735,78.78787878787878
1.3856856485530737,0.21456910259225886,79.3939393939394
1.3962634015954636,0.21458029885657323,80.0
1.4068411546378536,0.21458397638763488,80.60606060606061
1.4174189076802433,0.21458100737725433,81.2121212121212
1.4279966607226333,0.21457225042150493,81.81818181818183
1.438574413765023,0.2145585466128054,82.42424242424242
1.4491521668074132,0.21454071574062775,83.03030303030303
1.4597299198498028,0.2145195526137676,83.63636363636364
1.4703076728921929,0.21449582351660368,84.24242424242425
1.4808854259345825,0.21447026281126352,84.84848484848484
1.4914631789769726,0.214443569697052,85.45454545454547
1.5020409320193622,0.21441640513792354,86.06060606060603
1.5126186850617525,0.21438938896817686,86.66666666666667
1.523196438104142,0.21436309718591068,87.27272727272728
1.5337741911465321,0.2143380594431404,87.87878787878789
1.5443519441889217,0.2143147567407957,88.48484848484848
1.5549296972313118,0.2142936193361143,89.0909090909091
1.5655074502737014,0.2142750248692594,89.69696969696967
1.5760852033160917,0.21425929671524416,90.30303030303031
1.5866629563584813,0.21424670256649814,90.90909090909089
1.5972407094008714,0.21423745325067725,91.51515151515152
1.607818462443261,0.21423170178753398,92.12121212121211
1.618396215485651,0.2142295426878995,92.72727272727273
1.6289739685280407,0.21423101149703752,93.33333333333331
1.639551721570431,0.2142360845838582,93.93939393939395
1.6501294746128206,0.21424467917667064,94.54545454545453
